I	M	N	T
11.4	11.9	4.7	12.8
11.4	11.9	4.7	12.8
11.4	11.7	4.7	12.9
11.5	11.7	4.7	12.9
11.7	11.7	4.7	12.9
11.9	11.7	4.7	12.9
12	11.7	4.7	12.9
12	11.7	4.7	12.9
12	11.7	4.7	12.9
12	11.7	4.7	12.9
12	11.7	4.7	12.9
12	11.7	4.7	12.9
12	11.7	4.7	12.9
12	11.6	4.7	12.9
12	11.6	4.7	12.9
12	11.6	4.8	11.7
12	12.4	4.8	4.6
12	12.4	4.8	7
12	12.4	4.8	11.6
12	12.2	4.8	12
12	13	4.8	12.4
12	13.2	4.8	12.6
12	12.7	4.8	12.6
12	12.7	4.8	12.6
12	12.7	4.8	11.5
12	12.7	4.8	11.6
12	12.7	4.8	11.6
12	12.7	4.8	11.7
12.4	12.7	4.8	11.5
11.9	12.7	4.8	11.5
12	12.7	4.8	11.9
12	12.7	4.8	11.9
12	12.7	4.8	11.9
12.1	12.7	4.8	12
12.1	12.7	4.8	12
12.1	12.7	4.8	12
12.1	12.7	4.9	12
12.1	12.7	4.9	12
12.2	12.7	4.9	12
12.2	12.7	4.9	12
12.2	12.7	4.9	12
12.2	12.7	4.9	12
12.2	12.7	4.9	12
12.2	12.7	4.9	12
12.2	12.5	4.9	12
12.2	12.5	5.1	12
12.2	12.5	5.2	12
12.2	12.5	5.2	12
12.2	12.5	5.2	12
12.2	12.5	5.2	12
12.2	12.8	5.2	12
12.2	12.8	5.2	12
12.2	12.8	5.2	12
12.2	12.8	5.3	12
12.2	12.8	5.3	12
12.2	12.6	5.3	12
12.2	12.7	5.3	12
12.2	12.7	5.3	12
12.2	12.7	5.4	12
12.2	12.7	5.4	12
12.2	12.7	5.4	12
12.2	12.7	5.4	12
12.2	12.7	5.4	12
12.2	12.7	5.4	12
12.2	12.7	5.4	12
12.2	12.7	5.4	12
12.2	12.8	5.4	12
12.2	12.8	5.4	12
12.2	12.8	5.4	12
12.2	12.8	5.4	12
12.2	12.8	5.4	12
12.2	12.5	5.4	12
12.2	2.3	5.4	12
12.2	5.5	4.5	12
12.2	6.7	4.6	12
12.2	9.2	4.6	12
12.2	11.5	4.6	12
12.2	12.4	4.6	12
12.2	12.5	4.6	12
12.2	12.5	4.6	12
12.2	12.5	4.6	12
12.2	12.5	4.7	12
12.3	11.9	4.7	12
12.3	11.9	4.7	12.1
12.3	11.9	4.7	12.1
12.3	11.9	4.7	12.1
12.3	11.9	4.8	12.1
12.3	11.9	4.8	12.1
12.3	11.9	4.8	12.1
12.3	11.9	4.8	12.1
12.3	11.9	4.8	12.1
12.3	11.9	4.8	12.1
12.3	11.9	4.8	12.1
12.3	11.9	4.8	12.1
12.3	11.9	4.8	12.1
12.3	11.9	4.8	12.1
12.3	11.9	4.8	12.1
12.3	11.9	4.8	12.1
12.3	12	4.8	12.1
12.3	11.9	4.8	12.1
12.4	11.9	4.8	12.1
12.4	11.9	4.8	12.1
12.4	11.9	4.8	12.1
12.4	11.6	4.8	12.1
13.7	11.4	4.8	12.1
13.8	11.6	4.8	12.1
14.1	11.4	4.8	12.1
14.1	11.4	4.8	12.1
14.1	12	4.8	12.1
14.1	12	4.8	12.1
14.1	12	4.8	12.1
14.1	12	4.8	12.1
14.1	12	4.8	12.1
14.1	12	4.8	12.1
14.1	11.7	4.8	12.1
14.1	11.7	4.8	12.1
14.1	11.7	4.8	12.1
14.2	11.7	4.8	12.1
13.9	11.7	4.8	12.1
13.9	11.7	4.8	12.1
14.1	11.7	4.9	12.1
14.9	11.7	4.9	12.1
15.1	11.7	4.9	12.1
15.1	11.7	4.9	12.1
15.1	11.7	4.9	12.1
15.2	11.7	4.9	12.1
15	11.7	4.9	12.1
15.1	11.7	4.9	12.1
15.1	11.7	4.9	12.1
15.1	11.7	4.9	12.1
15.1	11.7	4.9	12.1
15.1	11.7	4.9	12.1
15.1	12.5	4.9	12.1
15.1	12.5	4.9	12.1
15.1	12.5	4.9	12.1
15	12.5	4.9	12.1
15.1	12.5	4.9	12.1
15.6	13.5	4.9	12.1
15.7	13.5	5.2	12.1
15.7	13.5	5.2	12.1
15.7	13.5	5.2	12.1
15.7	13.5	5.3	12.1
15.7	13.5	5.3	12.1
7.1	13.5	5.3	12.1
8.9	13.5	5.3	12.1
9.5	13.5	5.3	12.1
10.2	13.5	5.3	12.1
11.3	13.5	5.3	12.1
11.4	13.5	5.3	12.1
11.7	13.5	5.3	12.1
12.4	13.5	5.3	12.1
12.8	13.5	5.3	12.1
12.8	13.5	5.3	12.1
12.8	13.5	5.3	12.1
12.9	13.5	5.4	12.1
13	13.5	5.4	12.1
11.6	13.5	5.4	12.1
11.4	13.5	5.4	12.1
11.7	13.5	5.4	12.1
11.8	13.5	5.4	12.1
12.1	13.5	5.4	12.1
12	13	5.4	12.1
12	13	5.4	12.1
12	13	5.4	12.1
12	13	5.4	12.1
12	13	5.4	12.1
12	13	5.4	12.1
12	13	5.4	12.1
12	13	5.4	12.1
12	13	5.4	12.1
12	13	5.4	12.1
12	13	5.4	12.1
12	13	5.4	12.1
12	13	5.4	12.1
12	13		12.1
12	12.7		12.1
12	12.7		12.1
12	12.7		12.1
12	12.7		12.1
12.1	12.8		12.1
12.2	12.8		12.1
12.3	12.8		12.1
12.3	12.8		12.1
12.3	12.8		12.1
12.3	12.8		12.1
12.3	12.7		12.1
12.4	12.4		12.1
12.4	12.4		12.1
12.4	12.4		12.1
12.4	12.5		12.1
12.4	12.5		12.1
12.5	12.5		12.1
12.5			12.1
12.5			12.1
12.5			12.1
12.5			12.1
12.5			12.1
12.5			12.1
12.5			12.1
12.5			12.1
12.5			12.1
12.5			12.1
12.5			12.1
12.5			12.1
12.5			12.1
12.5			12.3
12.5			12.5
12.5			12.5
12.5			12.5
12.5			12.5
12.5			12.5
12.5			12.7
12.5			12.7
12.5			12.7
12.5			12.7
12.5			12.7
12.5			12.8
12.5			12.8
12.5			12.8
12.5			12.8
12.5			12.8
12.5			12.8
12.5			12.8
12.5			12.8
12.5			12.8
12.5			12.8
12.5			12.8
12.5			12.8
12.6			12.9
12.6			12.9
12.6			12.9
12.6			12.9
12.6			12.9
12.6			12.9
12.6			12.9
12.6			12.9
12.6			5.4
12.6			7.5
12.6			11.7
12.6			11.9
12.6			12.4
12.6			12.6
12.6			12.6
12.6			12.8
12.6			11.6
12.7			11.7
12.7			11.8
12.7			11.8
12.7			11.6
12.7			11.6
12.7			12
13.9			12
13.9			12
14.2			12.1
14.2			12.1
14.2			12.1
14.2			12.1
14.3			12.1
14.3			12.1
14.3			12.1
14.3			12.1
14.3			12.1
14.3			12.1
14			12.1
14			12.1
14.3			12.1
16.1			12.1
15			12.1
15			12.1
15.2			12.1
15.2			12.1
15.2			12.1
15.2			12.1
15			12.1
15.1			12.1
15.1			12.1
15			12.1
15			12.1
15			12.1
15			12.1
15			12.1
15			12.1
15			12.1
15.6			12.1
15.6			12.1
6.3			12.1
8.9			12.1
9.3			12.1
10.7			12.1
11.8			12.1
11.8			12.1
12.1			12.1
12.4			12.1
12.4			12.1
11.4			12.1
11.4			12.1
11.2			12.1
11.2			12.1
11.2			12.1
11.6			12.1
11.7			12.1
11.9			12.1
11.9			12.1
11.9			12.1
11.9			12.1
11.9			12.1
11.9			12.1
11.9			12.1
11.9			12.1
11.9			12.1
11.9			12.1
11.9			12.1
11.9			12.1
11.9			12.1
11.9			12.1
11.9			12.1
11.9			12.1
11.9			12.1
11.9			12.1
12			12.1
12.1			12.1
12.1			12.1
12.2			12.1
12.2			12.1
12.2			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.3			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.1
12.4			12.2
12.4			12.2
12.4			12.2
12.4			12.2
12.4			12.2
12.4			12.2
12.4			12.2
12.4			12.2
12.4			12.2
12.4			12.2
12.4			12.2
12.4			12.2
12.4			12.2
12.4			12.2
12.4			12.2
12.5			12.2
12.5			12.2
12.5			12.2
12.5			12.2
12.5			12.2
12.5			12.2
12.5			12.2
12.1			12.2
12.1			12.2
12.1			12.2
12.1			12.2
12.1			12.2
13.8			12.2
13.9			12.2
12.2			12.2
12.2			12.2
12.2			12.2
12.3			12.2
12.3			12.2
12.3			12.2
12.3			12.2
12.3			12.2
12.3			12.2
14			12.2
14			12.2
12.3			12.2
13.8			12.2
15.2			12.2
15.2			12.2
15.2			12.2
15.2			12.2
15.2			12.2
15.3			12.2
15.1			12.2
15.2			12.2
15.2			12.2
15.2			12.2
15.2			12.2
15.2			12.2
15.2			12.2
15.2			12.2
15.2			12.2
15.2			12.2
12.7			12.3
12.7			12.6
6.4			12.6
8.8			12.6
9			12.6
9.5			12.6
10.9			12.8
11.2			12.8
11.4			12.8
12.3			12.8
12.4			12.8
12.5			12.8
12.6			12.8
12.6			12.8
12.8			12.8
12.8			12.8
11.4			12.8
11.4			12.8
11.4			12.8
11.8			12.8
11.9			12.9
12			12.9
12			12.9
12			12.9
12			12.9
12			12.9
12			12.9
12			3.1
12			7.3
12			9.9
12			11.8
12			11.8
12			12.3
12			11.6
12			11.6
12			11.7
12			11.8
12			11.8
12			11.8
12			11.9
12			11.9
12			11.7
12			11.7
12.1			12.2
12.2			12.2
12.2			12.2
12.2			12.2
12.2			12.2
12.3			12.2
12.3			12.2
12.3			12.2
12.3			12.2
12.3			12.2
12.3			12.2
12.3			12.2
12.3			12.2
12.3			12.2
12.3			12.2
12.3			12.2
12.3			12.2
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.4
12.4			12.4
12.4			12.4
12.4			12.4
12.4			12.4
12.4			12.4
12.4			12.4
12.5			12.4
12.5			12.4
12.5			12.4
12.5			12.4
12.5			12.4
12.5			12.4
12.5			12.4
12.5			12.4
12.5			12.4
12.5			12.4
12.5			12.4
12.5			12.4
12.5			12.4
12.5			12.4
12.5			12.4
12.5			12.4
12.6			12.4
12.6			12.4
12.6			12.4
12.6			12.4
12.6			12.4
14.2			12.4
13.9			12.4
14.2			12.4
14.2			12.4
14.2			12.4
14.2			12.4
14.2			12.4
14.3			12.4
14.3			12.4
14.3			12.4
14.3			12.4
14			12.4
14			12.4
14.2			12.4
15.1			12.4
15.1			12.4
15.1			12.4
15.2			12.4
15.2			12.4
15.1			12.4
15.1			12.4
15.2			12.4
15.2			12.4
15.2			12.4
15.2			12.4
15.2			12.4
15.2			12.4
15.2			12.4
15.2			12.4
15.2			12.4
15.2			12.4
15.1			12.4
15.6			12.4
15.6			12.4
4			12.4
7.7			12.4
8.9			12.4
9.8			12.4
11.2			12.4
12			12.4
12.5			12.4
12.8			12.4
12.8			12.4
12.9			12.4
12.9			12.4
12.9			12.4
13			12.4
11.3			12.4
11.4			12.4
11.7			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
11.9			12.4
12			12.4
12.1			12.4
12.1			12.4
12.1			12.4
12.1			12.4
12.2			12.4
12.2			12.4
12.2			12.4
12.2			12.4
12.2			12.4
12.2			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.4
12.3			12.5
12.3			12.8
12.3			12.8
12.3			12.8
12.3			12.8
12.3			12.8
12.3			13
12.3			13
12.3			13
12.3			13
12.3			13
12.3			13
12.3			13
12.3			13
12.3			13.1
12.3			13.1
12.3			13.1
12.3			13.1
12.3			13.1
12.3			13.1
12.3			13.1
12.4			13.1
12.4			13.1
12.4			13.1
12.4			13.1
12.4			13.1
12.4			13.1
12.4			6.1
12.4			9.2
12.4			11.8
12.4			11.9
12.4			12.5
12.4			11.5
12.4			11.5
12.4			11.6
12.4			11.7
12.4			11.8
12.4			11.6
12.4			12
12.5			12.1
12.5			12.1
12.5			12.1
12.5			12.1
13.8			12.1
13.8			12.1
14.1			12.1
14.1			12.1
14.2			12.1
14.2			12.1
14.2			12.1
14.2			12.1
14.2			12.1
14.2			12.1
13.9			12.1
13.9			12.1
14.2			12.1
16.6			12.1
15			12.1
15			12.1
15.1			12.1
15.1			12.1
15.1			12.1
14.9			12.1
15			12.1
15.1			12.1
15.1			12.1
15.1			12.2
15.1			12.2
15.1			12.2
15.1			12.2
15.1			12.2
15.1			12.2
15.6			12.2
15.6			12.2
15.6			12.2
5			12.2
8.8			12.2
9			12.2
9.6			12.2
9.9			12.2
10.1			12.2
10.3			12.2
11.2			12.2
11.7			12.2
12.3			12.2
12.3			12.2
12.4			12.2
12.4			12.2
12.5			12.2
12.5			12.2
12.5			12.3
12.5			12.3
12.5			12.2
12.5			12.2
12.5			12.2
12.5			12.2
12.5			12.2
12.5			12.2
12.5			12.2
12.5			12.2
12.5			12.2
11			12.2
11			12.2
11			12.2
11			12.2
11			12.2
11			12.2
11.1			12.2
11.1			12.2
11.1			12.2
11.2			12.2
11.5			12.2
11.8			12.2
11.9			12.2
11.9			12.3
12			12.3
12			12.3
12			12.3
12			12.3
12			12.3
12			12.3
12			12.3
12			12.3
12			12.3
12			12.3
12			12.3
12			12.3
12			12.3
12			12.3
12			12.3
12			12.3
12			12.3
12			12.3
12			12.3
11.9			12.3
11.9			12.3
12			12.3
12.1			12.3
12.1			12.3
12.1			12.3
12.2			12.3
12.2			12.3
12.2			12.3
12.2			12.3
12.2			12.3
12.2			12.3
12.2			12.3
12.2			12.3
12.2			12.3
12.2			12.3
12.2			12.3
12.2			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.3			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.4			12.3
12.5			12.3
12.5			12.3
12.5			12.3
12.5			12.3
12.5			12.3
13.7			12.3
13.7			12.3
14			12.3
14			12.7
14			12.7
14			12.7
14.1			12.7
14.1			12.7
14.1			12.7
14.1			12.9
14.1			12.9
14.1			12.9
13.8			12.9
13.8			12.9
14.1			12.9
14.8			12.9
14.9			13
14.9			12.9
15			12.9
15			12.9
15			13
14.8			13
14.9			13
14.9			13
14.9			13
15			13
15			13
15			13
15			13
14.9			13
14.9			13
15			13
15.4			13
15.6			13
15.6			13
15.6			12.7
15.6			4.7
15.6			7.1
			11.6
			12.1
			12.6
			12.9
			11.6
			11.7
			11.7
			11.8
			11.8
			11.9
			11.7
			12.1
			12.1
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.6
			12.6
			12.6
			12.6
			12.6
			12.6
			12.8
			12.9
			12.9
			12.9
			12.9
			12.9
			12.9
			12.9
			12.9
			13
			13
			13
			13
			13
			13
			13
			13
			13
			13
			13
			13
			13
			13
			13
			3.6
			5.8
			8.5
			11.9
			11.9
			12.7
			11.6
			11.6
			11.7
			11.8
			11.8
			11.8
			11.9
			11.7
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.2
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.3
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.4
			12.7
			12.7
			12.7
			12.7
			12.7
			12.7
			12.9
			13
			13
			13
			13
			13
			13
			13
			13
			13.2
			12.7
			12.7
			12.7
			12.7
			12.7
			12.8
			12.8
			12.8
			12.8
			12.8
			12.8
			12.8
			12.8
